code_module,code_presentation,id_assessment,assessment_type,date,weight
AAA,2013J,1752,TMA,19,10
AAA,2013J,1753,TMA,54,20
AAA,2013J,1754,TMA,117,20
AAA,2013J,1755,TMA,166,20
AAA,2013J,1756,TMA,215,30
AAA,2013J,1757,Exam,,100
AAA,2014J,1758,TMA,19,10
AAA,2014J,1759,TMA,54,20
AAA,2014J,1760,TMA,117,20
AAA,2014J,1761,TMA,166,20
AAA,2014J,1762,TMA,215,30
AAA,2014J,1763,Exam,,100
BBB,2013B,1499,TMA,19,5
BBB,2013B,1500,TMA,54,18
BBB,2013B,1501,TMA,89,18
BBB,2013B,1502,TMA,124,18
BBB,2013B,1503,TMA,159,18
BBB,2013B,1504,CMA,54,1
BBB,2013B,1505,CMA,89,1
BBB,2013B,1506,CMA,124,1
BBB,2013B,1507,CMA,159,1
BBB,2013B,1508,CMA,187,1
BBB,2013B,1509,Exam,,100
BBB,2013J,15010,TMA,19,5
BBB,2013J,15011,TMA,54,18
BBB,2013J,15012,TMA,89,18
BBB,2013J,15013,TMA,124,18
BBB,2013J,15014,TMA,159,18
BBB,2013J,15015,CMA,54,1
BBB,2013J,15016,CMA,89,1
BBB,2013J,15017,CMA,124,1
BBB,2013J,15018,CMA,159,1
BBB,2013J,15019,CMA,187,1
BBB,2013J,15020,Exam,,100
BBB,2014B,15021,TMA,19,5
BBB,2014B,15022,TMA,54,18
BBB,2014B,15023,TMA,89,18
BBB,2014B,15024,TMA,124,18
BBB,2014B,15025,TMA,159,18
BBB,2014B,15026,CMA,54,1
BBB,2014B,15027,CMA,89,1
BBB,2014B,15028,CMA,124,1
BBB,2014B,15029,CMA,159,1
BBB,2014B,15030,CMA,187,1
BBB,2014B,15031,Exam,,100
BBB,2014J,15032,TMA,19,5
BBB,2014J,15033,TMA,54,18
BBB,2014J,15034,TMA,89,18
BBB,2014J,15035,TMA,124,18
BBB,2014J,15036,TMA,159,18
BBB,2014J,15037,CMA,54,1
BBB,2014J,15038,CMA,89,1
BBB,2014J,15039,CMA,124,1
BBB,2014J,15040,CMA,159,1
BBB,2014J,15041,CMA,187,1
BBB,2014J,15042,Exam,,100
CCC,2014B,24286,CMA,18,2
CCC,2014B,24287,CMA,32,7
CCC,2014B,24288,CMA,60,8
CCC,2014B,24289,CMA,137,8
CCC,2014B,24290,TMA,32,9
CCC,2014B,24291,TMA,102,22
CCC,2014B,24292,TMA,151,22
CCC,2014B,24293,TMA,207,22
CCC,2014B,24294,Exam,,100
CCC,2014J,24295,CMA,18,2
CCC,2014J,24296,CMA,32,7
CCC,2014J,24297,CMA,60,8
CCC,2014J,24298,CMA,137,8
CCC,2014J,24299,TMA,32,9
CCC,2014J,24300,TMA,102,22
CCC,2014J,24301,TMA,151,22
CCC,2014J,24302,TMA,207,22
CCC,2014J,24303,Exam,,100
DDD,2013B,25334,TMA,25,10
DDD,2013B,25335,TMA,53,15
DDD,2013B,25336,TMA,88,15
DDD,2013B,25337,TMA,123,15
DDD,2013B,25338,TMA,165,15
DDD,2013B,25339,TMA,207,30
DDD,2013B,25340,Exam,240,100
DDD,2013J,25341,TMA,25,10
DDD,2013J,25342,TMA,53,15
DDD,2013J,25343,TMA,88,15
DDD,2013J,25344,TMA,123,15
DDD,2013J,25345,TMA,165,15
DDD,2013J,25346,TMA,207,30
DDD,2013J,25347,Exam,262,100
DDD,2014B,25348,TMA,25,10
DDD,2014B,25349,TMA,53,15
DDD,2014B,25350,TMA,88,15
DDD,2014B,25351,TMA,123,15
DDD,2014B,25352,TMA,165,15
DDD,2014B,25353,TMA,207,30
DDD,2014B,25354,Exam,241,100
DDD,2014J,25355,TMA,25,10
DDD,2014J,25356,TMA,53,15
DDD,2014J,25357,TMA,88,15
DDD,2014J,25358,TMA,123,15
DDD,2014J,25359,TMA,165,15
DDD,2014J,25360,TMA,207,30
DDD,2014J,25361,Exam,262,100
EEE,2013J,30709,TMA,33,16
EEE,2013J,30710,TMA,75,28
EEE,2013J,30711,TMA,124,28
EEE,2013J,30712,TMA,159,28
EEE,2013J,30713,Exam,235,100
EEE,2014B,30714,TMA,33,16
EEE,2014B,30715,TMA,75,28
EEE,2014B,30716,TMA,124,28
EEE,2014B,30717,TMA,159,28
EEE,2014B,30718,Exam,228,100
EEE,2014J,30719,TMA,33,16
EEE,2014J,30720,TMA,75,28
EEE,2014J,30721,TMA,124,28
EEE,2014J,30722,TMA,159,28
EEE,2014J,30723,Exam,235,100
FFF,2013B,34873,TMA,19,12.5
FFF,2013B,34874,TMA,47,12.5
FFF,2013B,34875,TMA,89,25
FFF,2013B,34876,TMA,131,25
FFF,2013B,34877,TMA,166,25
FFF,2013B,34878,CMA,222,0
FFF,2013B,34879,CMA,222,0
FFF,2013B,34880,CMA,222,0
FFF,2013B,34881,CMA,222,0
FFF,2013B,34882,CMA,222,0
FFF,2013B,34883,CMA,222,0
FFF,2013B,34884,CMA,222,0
FFF,2013B,34885,Exam,222,100
FFF,2013J,34886,TMA,19,12.5
FFF,2013J,34887,TMA,47,12.5
FFF,2013J,34888,TMA,89,25
FFF,2013J,34889,TMA,131,25
FFF,2013J,34890,TMA,166,25
FFF,2013J,34891,CMA,236,0
FFF,2013J,34892,CMA,236,0
FFF,2013J,34893,CMA,236,0
FFF,2013J,34894,CMA,236,0
FFF,2013J,34895,CMA,236,0
FFF,2013J,34896,CMA,236,0
FFF,2013J,34897,CMA,236,0
FFF,2013J,34898,Exam,236,100
FFF,2014B,34899,TMA,19,12.5
FFF,2014B,34900,TMA,47,12.5
FFF,2014B,34901,TMA,89,25
FFF,2014B,34902,TMA,131,25
FFF,2014B,34903,TMA,166,25
FFF,2014B,34904,CMA,227,0
FFF,2014B,34905,CMA,227,0
FFF,2014B,34906,CMA,227,0
FFF,2014B,34907,CMA,227,0
FFF,2014B,34908,CMA,227,0
FFF,2014B,34909,CMA,227,0
FFF,2014B,34910,CMA,227,0
FFF,2014B,34911,Exam,227,100
FFF,2014J,34912,TMA,19,12.5
FFF,2014J,34913,TMA,47,12.5
FFF,2014J,34914,TMA,89,25
FFF,2014J,34915,TMA,131,25
FFF,2014J,34916,TMA,166,25
FFF,2014J,34917,CMA,241,0
FFF,2014J,34918,CMA,241,0
FFF,2014J,34919,CMA,241,0
FFF,2014J,34920,CMA,241,0
FFF,2014J,34921,CMA,241,0
FFF,2014J,34922,CMA,241,0
FFF,2014J,34923,CMA,241,0
FFF,2014J,34924,Exam,241,100
GGG,2013J,37415,TMA,61,0
GGG,2013J,37416,TMA,124,0
GGG,2013J,37417,TMA,173,0
GGG,2013J,37418,CMA,229,0
GGG,2013J,37419,CMA,229,0
GGG,2013J,37420,CMA,229,0
GGG,2013J,37421,CMA,229,0
GGG,2013J,37422,CMA,229,0
GGG,2013J,37423,CMA,229,0
GGG,2013J,37424,Exam,229,100
GGG,2014B,37425,TMA,61,0
GGG,2014B,37426,TMA,117,0
GGG,2014B,37427,TMA,166,0
GGG,2014B,37428,CMA,222,0
GGG,2014B,37429,CMA,222,0
GGG,2014B,37430,CMA,222,0
GGG,2014B,37431,CMA,222,0
GGG,2014B,37432,CMA,222,0
GGG,2014B,37433,CMA,222,0
GGG,2014B,37434,Exam,222,100
GGG,2014J,37435,TMA,61,0
GGG,2014J,37436,TMA,117,0
GGG,2014J,37437,TMA,166,0
GGG,2014J,37438,CMA,229,0
GGG,2014J,37439,CMA,229,0
GGG,2014J,37440,CMA,229,0
GGG,2014J,37441,CMA,229,0
GGG,2014J,37442,CMA,229,0
GGG,2014J,37443,CMA,229,0
GGG,2014J,37444,Exam,229,100
